"name","image","url","blurb","focus_code"
"Temple of Revi","[img]https://i.imgur.com/18T23AL.jpeg[/img]","https://store.steampowered.com/app/1750440/Temple_of_Revi/","",""
"Into The Grid","[img]https://i.imgur.com/bdUaRV6.jpeg[/img]","https://store.steampowered.com/app/2576200/Into_The_Grid/","",""
"Knuckle Jet","[img]https://i.imgur.com/CYwckIi.jpeg[/img]","https://store.steampowered.com/app/3199470/Knuckle_Jet/","",""
"Ringash","[img]https://i.imgur.com/sm9tNjT.jpeg[/img]","https://store.steampowered.com/app/2323140/Ringash/","Top-down/isometric DMC? I'm in",""
"Bat to the Heavens","[img]https://i.imgur.com/O00DE4M.png[/img]","https://store.steampowered.com/app/3044100/Bat_to_the_Heavens/","*creach*",""
"Milk outside a bag of milk outside a bag of milk","[img]https://i.imgur.com/4mjbqel.jpeg[/img]","https://store.steampowered.com/app/1604000/Milk_outside_a_bag_of_milk_outside_a_bag_of_milk/","",""
"Milk inside a bag of milk inside a bag of milk","[img]https://i.imgur.com/tPwd8p2.jpeg[/img]","https://store.steampowered.com/app/1392820/Milk_inside_a_bag_of_milk_inside_a_bag_of_milk/","",""
"It Steals","[img]https://i.imgur.com/4yWtUrm.jpeg[/img]","https://store.steampowered.com/app/1349060/It_Steals/","",""
"Sektori","[img]https://i.imgur.com/csj5ZQL.jpeg[/img]","https://store.steampowered.com/app/2105620/Sektori/","",""
"BIRDCAGE","[img]https://i.imgur.com/NOSqNLK.jpeg[/img]","https://store.steampowered.com/app/2158550/BIRDCAGE/","There's a certain energy about this one.",""
"Moonring","[img]https://i.imgur.com/I37ptyr.jpeg[/img]","https://store.steampowered.com/app/2373630/Moonring/","",""
"Pluto","[img]https://i.imgur.com/OAQSDl5.jpeg[/img]","https://store.steampowered.com/app/3057670/Pluto/","",""
"LOOTPLOT","[img]https://i.imgur.com/GsGZ4fY.jpeg[/img]","https://store.steampowered.com/app/3057190/LOOTPLOT/","",""
"XENOTILT: HOSTILE PINBALL ACTION","[img]https://i.imgur.com/lC2FrAG.jpeg[/img]","https://store.steampowered.com/app/2008980/XENOTILT_HOSTILE_PINBALL_ACTION/","",""
"DEMON'S TILT","[img]https://i.imgur.com/5Uulqd2.jpeg[/img]","https://store.steampowered.com/app/422510/DEMONS_TILT/","",""
"Öoo","[img]https://i.imgur.com/rPDqpWV.jpeg[/img]","https://store.steampowered.com/app/2721890/oo/","",""
"Broomstick Exorcist","[img]https://i.imgur.com/oKatrpc.jpeg[/img]","https://store.steampowered.com/app/3411060/Broomstick_Exorcist/","",""
"A Robot Named Fight!","[img]https://i.imgur.com/kIIy2jg.jpeg[/img]","https://store.steampowered.com/app/603530/A_Robot_Named_Fight/","",""
"Chained Echoes","[img]https://i.imgur.com/wCZ1amh.jpeg[/img]","https://store.steampowered.com/app/1229240/Chained_Echoes/","",""
"FINAL FANTASY TACTICS - The Ivalice Chronicles","[img]https://i.imgur.com/cvoDXlu.jpeg[/img]","https://store.steampowered.com/app/1004640/FINAL_FANTASY_TACTICS__The_Ivalice_Chronicles/","",""
"Deathsmiles","[img]https://i.imgur.com/yDNZIWb.jpeg[/img]","https://store.steampowered.com/app/314180/Deathsmiles/","",""
"Crystals of Irm","[img]https://i.imgur.com/Tofn8kA.jpeg[/img]","https://store.steampowered.com/app/1971470/Crystals_Of_Irm/","",""
"Calculate It","[img]https://i.imgur.com/E42mV65.jpeg[/img]","https://store.steampowered.com/app/3043740/Calculate_It/","Anything can be a roguelike.",""
"Brew","[img]https://i.imgur.com/vpZt5Vv.jpeg[/img]","https://store.steampowered.com/app/1793330/Brew/","",""
"Project Shikai","[img]https://i.imgur.com/hK0BOoD.jpeg[/img]","https://store.steampowered.com/app/2283230/Project_Shikai/","",""
"Demonschool","[img]https://i.imgur.com/KVP1EUJ.jpeg[/img]","https://store.steampowered.com/app/1900250/Demonschool/","",""
"DOG WITCH","[img]https://i.imgur.com/danVpx2.jpeg[/img]","https://store.steampowered.com/app/3548520/DOG_WITCH/","",""
"Dwarves: Glory, Death and Loot","[img]https://i.imgur.com/sGivUXL.jpeg[/img]","https://store.steampowered.com/app/2205850/Dwarves_Glory_Death_and_Loot/","",""
"ROGUE FLIGHT","[img]https://i.imgur.com/q6Md1Kt.jpeg[/img]","https://store.steampowered.com/app/2784620/ROGUE_FLIGHT/","",""
"Mixolumia","[img]https://i.imgur.com/ynVRxFa.jpeg[/img]","https://store.steampowered.com/app/1414020/Mixolumia/","",""
