"name","image","url","blurb"
"Tiny Glade","https://i.imgur.com/L4hXrM7.jpeg","https://store.steampowered.com/app/2198150/Tiny_Glade/","Cute."
"CATO","https://i.imgur.com/Om90uij.jpeg","https://store.steampowered.com/app/1999520/CATO/","Cute."
"Windswept","https://i.imgur.com/vDAeDOG.jpeg","https://store.steampowered.com/app/1660960/Windswept/","Cute."
"SCHiM","https://i.imgur.com/Ky9ipii.jpeg","https://store.steampowered.com/app/1519710/SCHiM/","Very cool idea."
"Enigma of Fear","https://i.imgur.com/NbfkqTa.jpg","https://store.steampowered.com/app/1507580/Enigma_of_Fear/","Reminded me of Stray Cat Crossing."
"Mouthwashing","https://i.imgur.com/B2WnNLv.jpeg","https://store.steampowered.com/app/2475490/Mouthwashing/",""
"Subversive Memories","https://i.imgur.com/d6CwlF6.jpeg","https://store.steampowered.com/app/2821110/Subversive_Memories/",""
"Project Tower","https://i.imgur.com/1M8QjLL.jpeg","https://store.steampowered.com/app/2242970/Project_Tower/",""
"Eclipsium","https://i.imgur.com/67ZSy27.jpeg","https://store.steampowered.com/app/2419670/Eclipsium/",""
"Pool of Madness","https://i.imgur.com/TIm8C7y.jpeg","https://store.steampowered.com/app/2873750/Pool_of_Madness/",""
"Beyond Shadowgate","https://i.imgur.com/Ku71GZ4.jpeg","https://store.steampowered.com/app/2332240/Beyond_Shadowgate/",""
"Trailblazers: Into the March","https://i.imgur.com/u1bPAN0.jpeg","https://store.steampowered.com/app/2671300/Trailblazers_Into_the_March/","*screams in FTL*"
"Combustion","https://i.imgur.com/qL0zZSK.jpeg","https://store.steampowered.com/app/2145090/Combustion/","Love the look."
"FUMES","https://i.imgur.com/STBrjrQ.jpeg","https://store.steampowered.com/app/1920430/FUMES/","CAR. COMBAT."
"Rose and Locket","https://i.imgur.com/AbQyOco.jpeg","https://store.steampowered.com/app/1697850/Rose_and_Locket/",""
"Slice & Dice","https://i.imgur.com/CZMiNug.jpeg","https://store.steampowered.com/app/1775490/Slice__Dice/","Mmm, yes. Dice."
"We Kill Monsters","https://i.imgur.com/1bxZaxj.jpeg","https://store.steampowered.com/app/1792460/We_Kill_Monsters/","One day, Little Devil Inside will get released."
"First Cut: Samurai Duel","https://i.imgur.com/P1QjsmY.jpeg","https://store.steampowered.com/app/2193490/First_Cut_Samurai_Duel/","Love me some Bushido Blade."
"Aero GPX","https://i.imgur.com/KmrTszq.jpeg","https://store.steampowered.com/app/2160360/Aero_GPX/","YOU GOT BOOST POWER"
"Metal Slug Tactics","https://i.imgur.com/I0ZuPto.jpeg","https://store.steampowered.com/app/1590760/Metal_Slug_Tactics/","ROCKET LAWNCHAIR"
"StarVaders","https://i.imgur.com/kUsNKbH.jpeg","https://store.steampowered.com/app/2097570/StarVaders/","Love me some deckbuilders."
"Rabbit and Steel","https://i.imgur.com/imVWbcu.jpeg","https://store.steampowered.com/app/2132850/Rabbit_and_Steel/",""
"Another Crab's Treasure","https://i.imgur.com/DtLRQFz.jpeg","https://store.steampowered.com/app/1887840/Another_Crabs_Treasure/",""
"SKALD: Against the Black Priory","https://i.imgur.com/12us9h9.jpeg","https://store.steampowered.com/app/1069160/SKALD_Against_the_Black_Priory/","Mmm, yes, DOS-core."
"LOK Digital","https://i.imgur.com/G3gGpgS.jpeg","https://store.steampowered.com/app/2207440/LOK_Digital/",""
"Tenjutsu","https://i.imgur.com/MST1FXP.jpeg","https://store.steampowered.com/app/1363940/Tenjutsu/","Dead Cells designer makes beat-em-up with Sifu/Absolver trappings. Seems good."
"Sea Sniffers","https://i.imgur.com/K94PO48.png","https://store.steampowered.com/app/3045520/Sea_Sniffers/","Seal punch problems away."
"Fear the Spotlight","https://i.imgur.com/IiXsiS9.jpeg","https://store.steampowered.com/app/1959390/Fear_the_Spotlight/","Great vibe."
"Puppy Truck","https://i.imgur.com/AwsLr96.png","https://x.com/seandick/status/1702092609316155489","Go, my son. Do a flip."
"Patrick's Parabox","https://i.imgur.com/gcL6i3b.jpeg","https://store.steampowered.com/app/1260520/Patricks_Parabox/","Sweet Jesus, Pooh! That's not honey! You're eating recursion!"
"Crypt Custodian","https://i.imgur.com/pjAjv04.jpeg","https://store.steampowered.com/app/2394650/Crypt_Custodian/",""
"Toxic Crusaders","https://i.imgur.com/6GwxMVe.jpeg","https://store.steampowered.com/app/2303850/Toxic_Crusaders/",""
"#BLUD","https://i.imgur.com/HWKurp6.jpeg","https://store.steampowered.com/app/1921480/BLUD/","Cartoon Network styled beat-em-up? Sign me up"
"Haunted Paws","https://i.imgur.com/ctz8Sno.jpeg","https://store.steampowered.com/app/2861080/Haunted_Paws/","doggos"
"ParaPerspective","https://i.imgur.com/29mfaTd.jpeg","https://store.steampowered.com/app/1997290/ParaPerspective/",""
"Big Boy Boxing","https://i.imgur.com/ovHVJCl.jpeg","https://store.steampowered.com/app/1680780/Big_Boy_Boxing/",""
"Motordoom","https://i.imgur.com/IeA5JsK.jpeg","https://store.steampowered.com/app/1894720/Motordoom/","Twisted Metal + Tony Hawk's Pro Skater? Yessirrrrr"
"Fallen Leaf","https://i.imgur.com/pfThG05.jpeg","https://store.steampowered.com/app/1459010/Fallen_Leaf/",""
"Wild Bastards","https://i.imgur.com/OcrxNur.jpeg","https://store.steampowered.com/app/1660840/Wild_Bastards/","Loved Void Bastards."
"Escape from Ever After","https://i.imgur.com/VsrRxZp.jpeg","https://store.steampowered.com/app/1996390/Escape_from_Ever_After/",""
"Dead Weight","https://i.imgur.com/lD9FYfS.jpeg","https://store.steampowered.com/app/2646720/Dead_Weight/","Isometric."
"Iron Meat","https://i.imgur.com/zK8Wivs.jpeg","https://store.steampowered.com/app/1157740/Iron_Meat/","Looks good."
"ARC SEED","https://i.imgur.com/hJJQvjm.jpeg","https://store.steampowered.com/app/2332970/ARC_SEED/","Tactical mech battles? I'm in"
"Die in the Dungeon","https://i.imgur.com/201PMiC.jpeg","https://store.steampowered.com/app/2026820/Die_in_the_Dungeon/","The dice. They call to me."
"Castaway","https://i.imgur.com/Dx7cwj5.jpeg","https://store.steampowered.com/app/2564860/Castaway/","Loved GB/GBC Zelda."
"Dungeon Drafters","https://i.imgur.com/5iP9J9V.jpeg","https://store.steampowered.com/app/1824580/Dungeon_Drafters/","Looks good."
"Bionic Bay","https://i.imgur.com/wD6WuiZ.jpeg","https://store.steampowered.com/app/1928690/Bionic_Bay/","Flashback/Heart of Darkness with swapping mechanics."
"Over Jump Rally","https://i.imgur.com/NiF5V2R.jpeg","https://store.steampowered.com/app/1959280/Over_Jump_Rally/","RALLLLLYYYYYYYYYYYY"
"Go Mecha Ball","https://i.imgur.com/udS5J1e.jpeg","https://store.steampowered.com/app/2008510/Go_Mecha_Ball/","Looks solid."
"Blue Prince","https://i.imgur.com/atCtEDF.jpeg","https://store.steampowered.com/app/1569580/Blue_Prince/",""
"MEGATON MUSASHI W: WIRED","https://i.imgur.com/49sD4k0.jpeg","https://store.steampowered.com/app/2450450/MEGATON_MUSASHI_W_WIRED/","Number go up."
"Dome-King Cabbage","https://i.imgur.com/orUsSbn.jpeg","https://store.steampowered.com/app/2092510/DomeKing_Cabbage/","Incredible style."
"Ring of Pain","https://i.imgur.com/n7eeh3t.jpeg","https://store.steampowered.com/app/998740/Ring_of_Pain/","Interesting take on a roguelike."
"ECHOSTASIS","https://i.imgur.com/kQADPed.jpeg","https://store.steampowered.com/app/1558000/ECHOSTASIS/","Analog horror's back on the menu, lads."
"The Mortuary Assistant","https://i.imgur.com/t4cU5VP.jpeg","https://store.steampowered.com/app/1295920/The_Mortuary_Assistant/","10/10 game. Never again."
"Death in Abyss","https://i.imgur.com/e2whmPX.jpeg","https://store.steampowered.com/app/2076520/Death_In_Abyss/","Starfox in the Mariana Trench."
"Aqua Ippan","https://i.imgur.com/e2ORhPC.png","https://division6.itch.io/aqua-ippan",""
"Sunshine Shuffle","https://i.imgur.com/JElD96f.jpeg","https://strangescaffold.itch.io/sunshine-shuffle",""
"LUNARK","https://i.imgur.com/G2tUZ6N.png","https://wayforward.itch.io/lunark","Love me some Flashback-esque games."
